,keywords,frequency
0,ps5,14584
1,xbox series x,13787
2,mazon,12997
3,playstation 5,6674
4,face masks,5512
5,advent calendar 2020,4526
6,nintendo switch,4209
7,christmas,3895
8,amaxon,3358
9,harry potter,2708
10,advent calendar,2662
11,borat,2564
12,greys anatomy,2359
13,log in,2273
14,gifts for women,2151
15,assassins creed valhalla,2140
16,christmas gifts,2084
17,the office,1966
18,echo dot,1927
19,apple watch,1866
20,ring doorbell,1860
21,iphone 12,1857
22,this is us,1854
23,iphone 11,1763
24,face mask,1752
25,weights,1717
26,gift card,1712
27,the boys,1706
28,iphone 12 pro max case,1696
29,gifts for men,1690
30,call of duty cold war,1648
31,iphone 12 pro max screen protector,1644
32,primark,1589
33,ps4 games,1568
34,rtx 3070,1540
35,harry potter gifts,1535
36,lego friends,1477
37,kindle paperwhite e-reader,1423
38,books bestsellers 2020 paperback,1409
39,rtx 3080,1406
40,echo,1372
41,ps5 console,1370
42,xbox series s,1346
43,sex toys,1333
44,hotel chocolat,1325
45,face masks washable uk,1275
46,ps5 games,1258
47,"xbox 360 consoles, games & accessories",1243
48,oculus quest 2,1235
49,harry potter lego,1233
50,oodie,1208
51,pokemon,1194
52,iphone charger,1173
53,dumbbells set,1168
54,below deck,1160
55,rice cooker,1105
56,vikings,1104
57,amazon co uk,1093
58,contact us live chat,1075
59,christmas crackers,1075
60,amazon prime,1067
61,logitech webcam,1066
62,amazon co,1060
63,airpods pro,1056
64,kindle fire,1044
65,star wars,1029
66,baby yoda,1010
67,gifts for her,1000
68,minecraft,996
69,4k monitor,990
70,b08j4qy2gw | b08j4v88xf,989
71,kettlebell,983
72,eyelash growth serum,974
73,among us,967
74,advent calendars,966
75,contact us,952
76,mask,951
77,face shield,928
78,ipad air,915
79,treadmill,908
80,perfume women sale,902
81,south park,894
82,dumbells,894
83,live chat,888
84,amazon fire stick,887
85,iphone 12 pro max,878
86,mandalorian,872
87,masks,867
88,desperate housewives,857
89,amazon smile uk,856
90,hard drive,855
91,chromebook,855
92,criminal minds,849
93,graphics cards,842
94,fortnite,836
95,firestick,824
96,free kindle books,823
97,black friday deals 2020,815
98,parasite,814
99,christmas gift bags,808
